" Siege of Batumi"

Attacker,Helheim
Defender,Sinstera_Empire
Winner,Nobody

Participant Logs,,,,,,Kill Logs,,,,,
Player,Damage,Kills,Deaths,KDR,,Time (h),Killer Side,Killer,Victim,Location
Nitency,4135.52,11,4,2.75,,0,Helheim,N3mke,Myver,"(-866.70, 81.00, -3311.30)"
ItsDenisHmm,2662.22,4,7,0.57,,0,Sinstera_Empire,Ivious,ImRobloxFun2008,"(-869.28, 84.88, -3304.88)"
BigNailsRazz,2628.76,6,2,3.00,,0,Helheim,N3mke,Ivious,"(-860.70, 81.00, -3309.70)"
dog,2181.06,5,2,2.50,,0,Helheim,dog,5EERGI,"(-848.84, 77.92, -3300.58)"
BigNailsGroen,1552.83,3,0,3.00,,0,Sinstera_Empire,SmeggyTeggy,N3mke,"(-847.70, 78.00, -3295.56)"
5EERGI,1391.81,1,5,0.20,,0,Sinstera_Empire,SmeggyTeggy,dog,"(-846.36, 77.20, -3295.57)"
SleaseyCheese,1361.36,5,1,5.00,,0,Helheim,SleaseyCheese,SmeggyTeggy,"(-847.70, 77.16, -3295.30)"
TelixC,1015.98,1,4,0.25,,0,Helheim,dog,5EERGI,"(-872.10, 84.00, -3305.51)"
SmeggyTeggy,837.81,2,4,0.50,,0,Sinstera_Empire,BigNailsGroen,N3mke,"(-884.07, 29.00, -3305.70)"
N3mke,760.96,3,3,1.00,,0,Helheim,SleaseyCheese,ItsDenisHmm,"(-844.04, 82.00, -3307.77)"
Ivious,688.56,1,3,0.33,,0,Helheim,SleaseyCheese,SmeggyTeggy,"(-879.70, 74.31, -3300.30)"
HytesFan500,631.52,0,1,0.00,,0,Helheim,dog,Ivious,"(-850.47, 84.00, -3304.06)"
"#Fall",455.86,0,0,0.00,,0,Helheim,BigNailsRazz,ItsDenisHmm,"(-850.83, 81.20, -3296.30)"
Myver,450.99,0,3,0.00,,0,Helheim,Nitency,5EERGI,"(-859.47, 84.43, -3300.66)"
lukinhaseuro,273.21,1,0,1.00,,0,Helheim,Nitency,ItsDenisHmm,"(-848.36, 72.42, -3349.30)"
IgnAL1,243.18,1,2,0.50,,1,Helheim,Nitency,Myver,"(-868.51, 80.38, -3302.79)"
"#Fire tick",215.29,0,0,0.00,,1,Helheim,SleaseyCheese,Myver,"(-902.70, 84.00, -3297.58)"
NxtDime,104.32,0,2,0.00,,1,Sinstera_Empire,BigNailsGroen,HytesFan500,"(-897.69, 79.12, -3297.30)"
CatGirlZuuus,71.06,0,0,0.00,,1,Sinstera_Empire,ItsDenisHmm,dog,"(-884.98, 84.00, -3306.70)"
"#Ender pearl",63.60,0,0,0.00,,1,Sinstera_Empire,ItsDenisHmm,Nitency,"(-886.30, 76.00, -3297.68)"
"#Minecart tnt",22.24,0,0,0.00,,1,Sinstera_Empire,ItsDenisHmm,BigNailsRazz,"(-895.08, 81.00, -3309.70)"
ImRobloxFun2008,15.28,0,1,0.00,,2,Helheim,lukinhaseuro,ItsDenisHmm,"(-870.21, 61.66, -3259.30)"
"#Suffocation",13.32,0,0,0.00,,2,Helheim,SleaseyCheese,5EERGI,"(-877.00, 60.20, -3276.63)"
"#Firework",10.69,0,0,0.00,,2,Sinstera_Empire,BigNailsGroen,SleaseyCheese,"(-879.70, 60.20, -3276.17)"
"#Creeper",9.81,0,0,0.00,,2,Helheim,dog,Ivious,"(-884.30, 75.75, -3316.30)"
94Air,8.09,0,0,0.00,,2,Helheim,Nitency,ItsDenisHmm,"(-895.72, 84.53, -3309.08)"
"#Zombie",7.76,0,0,0.00,,5,Sinstera_Empire,5EERGI,BigNailsRazz,"(-852.66, 84.00, -3304.30)"
"#Arrow",6.58,0,0,0.00,,5,Helheim,BigNailsRazz,5EERGI,"(-862.30, 78.00, -3297.44)"
"#Endermite",2.69,0,0,0.00,,17,Helheim,Nitency,TelixC,"(-777.70, 57.00, -3356.70)"
prabbu,2.61,0,0,0.00,,17,Helheim,Nitency,SmeggyTeggy,"(-801.70, 66.87, -3349.30)"
DumDumDeChongus,1.76,0,0,0.00,,17,Sinstera_Empire,TelixC,Nitency,"(-819.66, 70.00, -3345.55)"
"#Drowning",0.72,0,0,0.00,,17,Helheim,Nitency,SmeggyTeggy,"(-790.70, 55.42, -3356.70)"
"#Zombie villager",0.50,0,0,0.00,,17,Helheim,Nitency,TelixC,"(-808.49, 73.00, -3317.79)"
"#Lava",0.35,0,0,0.00,,18,Sinstera_Empire,IgnAL1,Nitency,"(-883.69, 29.42, -3305.41)"
"#Spider",0.32,0,0,0.00,,18,Helheim,BigNailsRazz,IgnAL1,"(-859.29, 78.00, -3301.36)"
"",,,,,,18,Helheim,BigNailsRazz,NxtDime,"(-859.30, 78.12, -3302.10)"
"",,,,,,18,Helheim,Nitency,TelixC,"(-877.70, 78.00, -3304.37)"
"",,,,,,18,Helheim,Nitency,IgnAL1,"(-857.44, 84.91, -3297.74)"
"",,,,,,18,Helheim,BigNailsRazz,TelixC,"(-855.56, 84.76, -3313.66)"
"",,,,,,19,Helheim,BigNailsRazz,NxtDime,"(-1010.89, 68.08, -3307.78)"
"",,,,,,20,Sinstera_Empire,ItsDenisHmm,Nitency,"(-830.70, 67.00, -3364.63)"
"",,,,,,20,Helheim,Nitency,ItsDenisHmm,"(-889.53, 66.80, -3361.85)"
"",,,,,,24,Helheim,N3mke,ItsDenisHmm,"(-976.70, 65.64, -3320.70)"
"",,,,,,24,Sinstera_Empire,dog,N3mke,"(-886.70, 29.00, -3303.07)"

Kills over time
time,Helheim,Sinstera_Empire
0,11,4
1,2,4
2,4,1
3,0,0
4,0,0
5,1,1
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,4,1
18,5,1
19,1,0
20,1,1
21,0,0
22,0,0
23,0,0
24,1,1
